Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.8436,1.185417,Euro
Average,2012-12-31,2013-12-31,0.8486,1.178398,Euro
Average,2012-03-31,2013-03-31,0.8141,1.228351,Euro
Average,2011-12-31,2012-12-31,0.8107,1.233473,Euro
Average,2001-04-01,2002-02-27,0.7841292245,1.2753,Euro
Average,2002-01-01,2002-03-28,0.6148548942,1.6264,Euro
Spot,,2002-03-28,0.6126324818,1.6323,Euro
Spot,,2002-02-27,0.7744733581,1.2912,Euro
Average,2000-12-31,2001-12-31,0.7893282816,1.2669,Irish Punt
Average,2000-03-31,2001-03-31,0.7788161994,1.284,Irish Punt
Spot,,2001-12-31,0.7768197001,1.2873,Irish Punt
Spot,,2001-03-30,0.7895152376,1.2666,Irish Punt
Average,1999-12-29,2000-12-29,0.7732755954,1.2932,Irish Punt
Average,1999-03-31,2000-03-31,0.81301,1.23,Irish Punt
Spot,,2000-12-29,0.7980209081,1.2531,Irish Punt
Spot,,2000-03-31,0.7616146230,1.313,Irish Punt
Average,1998-12-30,1999-12-30,0.83472,1.198,Irish Punt
Average,1998-03-31,1999-03-31,0.86738,1.1529,Irish Punt
Spot,,1999-12-31,0.7896399242,1.2664,Irish Punt
Spot,,1999-03-31,0.8491848,1.1776,Irish Punt
Average,1997-12-31,1998-12-31,0.85948,1.1635,Irish Punt
Average,1997-03-31,1998-03-31,0.88976,1.1239,Irish Punt
Spot,,1998-12-31,0.896134,1.1159,Irish Punt
Spot,,1998-03-31,0.811424,1.2324,Irish Punt
Average,1996-12-30,1997-12-30,0.92473,1.0814,Irish Punt
Average,1996-03-31,1997-03-31,1.011326,0.9888,Irish Punt
Spot,,1997-12-31,0.8662508,1.1544,Irish Punt
Spot,,1997-03-31,0.967398,1.0337,Irish Punt
Average,1995-12-31,1996-12-31,1.02512,0.9755,Irish Punt
Average,1995-03-31,1996-03-31,1.025536,0.9751,Irish Punt
Spot,,1996-12-31,0.9890218,1.0111,Irish Punt
Spot,,1996-03-31,1.0318852,0.9691,Irish Punt
Average,1994-12-30,1995-12-30,1.016054,0.9842,Irish Punt
Average,1994-03-31,1995-03-31,0.98561,1.0146,Irish Punt
Spot,,1995-12-30,1.0323113,0.9687,Irish Punt
Spot,,1995-03-31,1.0013016,0.9987,Irish Punt
Average,1993-12-30,1994-12-30,0.97704,1.0235,Irish Punt
Average,1993-03-30,1994-03-30,0.957854,1.044,Irish Punt
Spot,,1994-12-30,0.9870693,1.0131,Irish Punt
Spot,,1994-03-30,0.964692,1.0366,Irish Punt
Average,1992-12-31,1993-12-31,0.97561,1.025,Irish Punt
Average,1992-03-31,1993-03-31,0.9911785,1.0089,Irish Punt
Spot,,1993-12-31,0.952472,1.0499,Irish Punt
Spot,,1993-03-31,1.0025062,0.9975,Irish Punt
Average,1991-12-31,1992-12-31,0.9650646,1.0362,Irish Punt
Average,1991-03-31,1992-03-31,0.9174311,1.0900,Irish Punt
Spot,,1992-12-31,1.0729613,0.932,Irish Punt
Spot,,1992-03-31,0.9341429,1.0705,Irish Punt
Average,1990-12-31,1991-12-31,0.9131586,1.0951,Irish Punt
Average,1990-03-31,1991-03-31,0.918358,1.0889,Irish Punt
Spot,,1991-12-31,0.9363295,1.0680,Irish Punt
Spot,,1991-03-28,0.898473,1.1130,Irish Punt
Average,1989-12-31,1990-12-31,0.929800,1.0755,Irish Punt
Average,1989-03-31,1990-03-31,0.912159,1.0963,Irish Punt
Spot,,1990-12-31,0.920810,1.0860,Irish Punt
Spot,,1990-03-30,0.959693,1.0420,Irish Punt
Average,1988-12-31,1989-12-31,0.865651,1.1552,Irish Punt
Spot,,1989-12-29,0.965251,1.0360,Irish Punt
