Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.1717,5.823459
2013-12-31,0.1741,5.743216
2013-03-31,0.1478,6.767975
2012-12-31,0.1464,6.831167
2012-03-31,0.1695,5.900621
2011-12-31,0.1698,5.888749
2011-03-31,0.1754,5.7021
2010-12-31,0.1763,5.6727
2010-03-31,0.17095,5.8497
2009-12-31,0.17408,5.7445
2009-03-31,0.15858,6.3059
2008-12-31,0.14704,6.8011
2008-03-31,0.135663,7.3712
2007-12-31,0.13609,7.3481
2007-03-31,0.143738,6.9571
2006-12-31,0.147652,6.7727
2006-03-31,0.152527379,6.5562
2005-12-31,0.14964012,6.6827
2005-03-31,0.1473101,6.7884
2004-12-31,0.1483944,6.7388
2004-03-31,0.16062709,6.2256
2003-12-31,0.16643643,6.0083
2003-03-31,0.1758891,5.6854
2002-12-31,0.1810053,5.5247
2002-03-28,0.1899768228,5.2638
2001-12-31,0.1889394827,5.2927
2001-03-31,0.1860949829,5.3736
2000-12-29,0.1816134539,5.5062
2000-03-31,0.1690502756,5.9154
1999-12-30,0.1683048337,5.9416
1999-03-31,0.16454,6.0776
1998-12-31,0.16413,6.0927
1998-03-31,0.165623,6.0378
1997-12-30,0.166099,6.0205
1997-03-31,0.171603,5.8274
1996-12-31,0.17431,5.7369
1996-03-31,0.173825,5.7529
1995-12-30,0.172375,5.8013
1995-03-31,0.175064,5.7122
1994-12-30,0.177683,5.628
1994-03-30,0.180845,5.5296
1993-12-31,0.181058,5.5231
1993-03-31,0.1608648,6.2164
1992-12-31,0.154221,6.4842
1992-03-31,0.1569908,6.3698
1991-12-31,0.1540737,6.4904
1991-03-31,0.145736,6.8617
1990-12-31,0.152558,6.5549
1990-03-31,0.167400,5.9737
1989-12-31,0.166642,6.0009
