Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.1897,5.270330
2013-12-31,0.1921,5.205075
2013-03-31,0.1823,5.485075
2012-12-31,0.1814,5.512736
2012-03-31,0.2059,4.856684
2011-12-31,0.2046,4.887498
2011-03-31,0.2008,4.97975
2010-12-31,0.204,4.9026
2010-03-31,0.21136,4.7312
2009-12-31,0.20989,4.7645
2009-03-31,0.2181,4.5851
2008-12-31,0.21613,4.6269
2008-03-31,0.206984,4.8313
2007-12-31,0.205567,4.8646
2007-03-31,0.19516384,5.1239
2006-12-31,0.19407301,5.1527
2005-07-01 to 2006-03-31,0.191183,5.2306
2005-04-01 to 2005-06-30,0.000018697,53483.7
2005-07-01 to 2005-12-31,0.189959,5.2643
2005-01-01 to 2005-06-30,0.000018725,53404.4
2005-03-31,0.000017226,58049.01
2004-12-31,0.00001675,59678.3917
2004-03-31,0.0000178,56162.18
2003-12-31,0.0000183,54460.65
2003-03-31,1.9365,51638.82
2002-12-31,2.00445,49889.0667
2002-03-28,0.0000228019,43855.99
2001-12-31,0.0000237193,42159.75
2001-03-31,0.0000282780,35363.23
2000-12-29,0.0000301767,33138.1833
2000-03-31,0.0000364156,27460.78
1999-12-30,0.0000397188,25176.975
1999-03-31,0.000059518,16801.7
1998-12-31,0.000066955,14935.4667
1998-03-31,0.0000804,12433.58
1997-12-30,0.0000867,11532.98
1997-03-31,0.000161,6204.511
1996-12-31,0.000208,4811.369
1996-03-31,0.000283,3539.565
1995-12-30,0.000313,3190.608
1995-03-31,0.000372,2687.579
1994-12-30,0.000397,2518.086
1994-03-30,0.000683,1464.077
1993-12-31,0.000896,1115.706
1993-03-31,0.001563,639.77
1992-12-31,0.0018832,531
1991-12-01 to 1992-03-31,0.0028686,348.60
1991-04-01 to 1991-11-30,0.0096571,103.55
1991-12-01 to 1991-12-31,0.0029545,339.50
1991-04-01 to 1991-11-30,0.0096571,103.55
1991-01-01 to 1991-03-31,0.0148506,67.337
1991-03-31,0.021519,46.470
1990-12-31,0.028589,34.979
