Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,0.032,31.288415
Average,2012-12-31,2013-12-31,0.0328,30.507841
Average,2012-03-31,2013-03-31,0.0323,30.986419
Average,2011-12-31,2012-12-31,0.0322,31.050883
Average,2011-03-31,2012-03-31,0.0355,28.175426
Average,2010-12-31,2011-12-31,0.0353,28.314162
Average,2010-03-31,2011-03-31,0.0341,29.3266
Average,2009-12-31,2010-12-31,0.0339,29.4579
Average,2009-03-31,2010-03-31,0.034058,29.3613
Average,2008-12-31,2009-12-31,0.033554,29.8025
Average,2008-03-31,2009-03-31,0.032657,30.6209
Average,2007-12-31,2008-12-31,0.032035,31.2163
Average,2007-03-31,2008-03-31,0.02615,38.2403
Average,2006-12-31,2007-12-31,0.024726,40.4435
Average,2006-03-31,2007-03-31,0.024039097,41.5989
Average,2005-12-31,2006-12-31,0.024153656,41.4016
Average,2005-03-31,2006-03-31,0.02318,43.1314
Average,2004-12-31,2005-12-31,0.02290426,43.66
Average,2004-03-31,2005-03-31,0.021905,45.652
Average,2003-12-31,2004-12-31,0.02127596,47.0014
Average,2003-03-31,2004-03-31,0.021522,46.464
Average,2002-12-31,2003-12-31,0.02172737,46.0249
Average,2002-03-31,2003-03-31,0.020939,47.7581
Average,2001-12-31,2002-12-31,0.02048165,48.8242
Average,2001-03-28,2002-03-28,0.0185827667,53.8133
Average,2000-12-31,2001-12-31,0.0182516723,54.7895
Average,2000-03-31,2001-03-31,0.0173737493,57.5581
Average,1999-12-29,2000-12-29,0.0170898104,58.5144
Average,1999-03-31,2000-03-31,0.0180234088,55.4834
Average,1998-12-30,1999-12-30,0.0183130059,54.606
Average,1998-03-31,1999-03-31,0.018855,53.0363
Average,1997-12-31,1998-12-31,0.018744,53.3515
Average,1997-03-31,1998-03-31,0.01837,54.4364
Average,1996-12-30,1997-12-30,0.0192997,51.8142
Average,1996-03-31,1997-03-31,0.023023,43.4344
Average,1995-12-31,1996-12-31,0.023671,42.245
Average,1995-03-31,1996-03-31,0.024097,41.4991
Average,1994-12-30,1995-12-30,0.023803,42.0109
Average,1994-03-31,1995-03-31,0.022797,43.8646
Average,1993-12-30,1994-12-30,0.022654,44.1431
Average,1992-03-31,1993-03-31,0.0208025,48.071
Average,1991-12-31,1992-12-31,0.0199342,50.165
Average,1991-03-31,1992-03-31,0.0194977,51.288
Average,1990-12-31,1991-12-31,0.0194522,51.408
Average,1990-03-31,1991-03-31,0.027133,36.856
Average,1989-12-31,1990-12-31,0.032457,30.810
