Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,0.8436,1.185417
Average,2012-12-31,2013-12-31,0.8486,1.178398
Average,2012-03-31,2013-03-31,0.8141,1.228351
Average,2011-12-31,2012-12-31,0.8107,1.233473
Average,2001-04-01,2002-02-27,0.1038410816,9.6301
Average,2002-01-01,2002-03-28,0.6148548942,1.6264 (Euro)
Average,2000-12-31,2001-12-31,0.1045642286,9.5635
Average,2000-03-31,2001-03-31,0.1029304293,9.7153
Average,1999-12-29,2000-12-29,0.1021659174,9.788
Average,1999-03-31,2000-03-31,0.1076044032,9.2933
Average,1998-12-30,1999-12-30,0.1106733366,9.0356
Average,1998-03-31,1999-03-31,0.1142,8.7562
Average,1997-12-31,1998-12-31,0.11284,8.8624
Average,1997-03-31,1998-03-31,0.11417,8.7589
Average,1996-12-30,1997-12-30,0.11761,8.5027
Average,1996-03-31,1997-03-31,0.134153,7.4542
Average,1995-12-31,1996-12-31,0.139371,7.1751
Average,1995-03-31,1996-03-31,0.146852,6.8096
Average,1994-12-30,1995-12-30,0.145216,6.8863
Average,1994-03-31,1995-03-31,0.129713,7.7093
Average,1993-12-30,1994-12-30,0.12529,7.9815
Average,1993-03-30,1994-03-30,0.117021,8.5455
Average,1992-12-31,1993-12-31,0.116575,8.5782
Average,1992-03-31,1993-03-31,0.1249297,8.0045
Average,1991-12-31,1992-12-31,0.1275965,7.8372
Average,1991-03-31,1992-03-31,0.1365392,7.3239
Average,1990-12-31,1991-12-31,0.1402367,7.1308
Average,1990-03-31,1991-03-31,0.143897,6.9494
Average,1989-12-31,1990-12-31,0.147042,6.8008
Average,1989-03-31,1990-03-31,0.148339,6.7413
Average,1988-12-31,1989-12-31,0.142408,7.0221
