Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,0.0489,20.439413
Average,2012-12-31,2013-12-31,0.0501,19.946430
Average,2012-03-31,2013-03-31,0.0483,20.697690
Average,2011-12-31,2012-12-31,0.0479,20.875711
Average,2011-03-31,2012-03-31,0.0497,20.118153
Average,2010-12-31,2011-12-31,0.0503,19.867946
Average,2010-03-31,2011-03-31,0.0516,19.3674
Average,2009-12-31,2010-12-31,0.0512,19.5447
Average,2009-03-31,2010-03-31,0.047881,20.8849
Average,2008-12-31,2009-12-31,0.047411,21.0920
Average,2008-03-31,2009-03-31,0.049219,20.3173
Average,2007-12-31,2008-12-31,0.048802,20.4908
Average,2007-03-31,2008-03-31,0.045811,21.8287
Average,2006-12-31,2007-12-31,0.045746,21.8598
Average,2006-03-31,2007-03-31,0.04798050,20.8418
Average,2005-12-31,2006-12-31,0.0497552,20.0984
Average,2005-03-31,2006-03-31,0.05212,19.1852
Average,2004-12-31,2005-12-31,0.050424,19.8317
Average,2004-03-31,2005-03-31,0.0477833,20.9278
Average,2003-12-31,2004-12-31,0.0483204,20.6952
Average,2003-03-31,2004-03-31,0.05439,18.385
Average,2002-12-31,2003-12-31,0.05661,17.6634
Average,2002-03-31,2003-03-31,0.06388,15.6552
Average,2001-12-31,2002-12-31,0.0686,14.5782
Average,2001-03-28,2002-03-28,0.0757943245,13.1936
Average,2000-12-31,2001-12-31,0.0741702207,13.4825
Average,2000-03-31,2001-03-31,0.0708205266,14.1202
Average,1999-12-29,2000-12-29,0.0696912677,14.349
Average,1999-03-31,2000-03-31,0.0658561964,15.1846
Average,1998-12-30,1999-12-30,0.0646078305,15.478
Average,1998-03-31,1999-03-31,0.063281,15.8026
Average,1997-12-31,1998-12-31,0.065729,15.2139
Average,1997-03-31,1998-03-31,0.075353,13.2708
Average,1996-12-30,1997-12-30,0.076889,13.0057
Average,1996-03-31,1997-03-31,0.081907,12.2089
Average,1995-12-31,1996-12-31,0.084212,11.8748
Average,1995-03-31,1996-03-31,0.094118,10.625
Average,1994-12-30,1995-12-30,0.098861,10.1152
Average,1994-03-31,1995-03-31,0.157129,6.3642
Average,1993-12-30,1994-12-30,0.192849,5.1854
Average,1993-03-30,1994-03-30,0.211995,4.7171
Average,1992-12-31,1993-12-31,0.213516,4.6835
Average,1993-01-01,1993-03-31,0.2185362,4.5759
Average,1992-04-01,1992-12-31,0.0001868,5352.6
Average,1991-12-31,1992-12-31,0.0001865,5361.7
Average,1991-03-31,1992-03-31,0.0001904,5252.1
Average,1990-12-31,1991-12-31,0.0001880,5319.1
Average,1990-03-31,1991-03-31,0.000183,5461
Average,1989-12-31,1990-12-31,0.000197,5081
Average,1989-03-31,1990-03-31,0.000233,4290
Average,1988-12-31,1989-12-31,0.000246,4069
